,time,diff_v
15046,0.15046,496.93838888810046
15047,0.15047000000000002,496.9269540484645
15048,0.15048,496.9144840609697
15049,0.15049,496.90099737323436
15050,0.15050000000000002,496.8865748049857
15051,0.15051,496.87113100567694
15052,0.15052000000000001,496.85469240157624
15053,0.15053000000000002,496.83729492942854
15054,0.15054,496.818874700903
15055,0.15055000000000002,496.7996077837065
15056,0.15056,496.7793084826226
15057,0.15057,496.75802962274975
15058,0.15058000000000002,496.7358305203777
15059,0.15059,496.71266230963533
15060,0.1506,496.68862207146014
15061,0.15061000000000002,496.66355877700664
15062,0.15062,496.63756853791244
15063,0.15063000000000001,496.6106367201253
15064,0.15064000000000002,496.582729637701
15065,0.15065,496.5538909955104
15066,0.15066000000000002,496.52408613041206
15067,0.15067000000000003,496.4932887860836
15068,0.15068,496.46152263440683
15069,0.15069000000000002,496.42877409027926
15070,0.1507,496.39503845570096
15071,0.15071,496.36025584289496
15072,0.15072000000000002,496.32443522428235
15073,0.15073,496.2876907488916
15074,0.15074,496.249819672111
15075,0.15075000000000002,496.21087195659544
15076,0.15076,496.170823218754
15077,0.15077000000000002,496.1297888886801
15078,0.15078000000000003,496.0876106897805
15079,0.15079,496.0443699706865
15080,0.15080000000000002,495.999988932218
15081,0.15081,495.9544539243266
15082,0.15082,495.90781082915555
15083,0.15083000000000002,495.8600548205669
15084,0.15084,495.81118827976
15085,0.15085,495.761150241711
15086,0.15086000000000002,495.7099916526579
15087,0.15087,495.6577558380961
15088,0.15088000000000001,495.604336735168
15089,0.15089000000000002,495.5498911046275
15090,0.1509,495.4943072276791
15091,0.15091000000000002,495.4376960772149
15092,0.15092,495.3800048244095
15093,0.15093,495.3213125166855
15094,0.15094000000000002,495.26163253874057
15095,0.15095,495.200995308755
15096,0.15096,495.13943980764856
15097,0.15097000000000002,495.07692150275625
15098,0.15098,495.0135944013133
15099,0.15099,494.9495000585484
15100,0.15100000000000002,494.8845659560603
15101,0.15101,494.81893653966563
15102,0.15102000000000002,494.75261311741326
15103,0.15103000000000003,494.6856534162014
15104,0.15104,494.6181069476214
15105,0.15105000000000002,494.5500941165018
15106,0.15106,494.481541547371
15107,0.15107,494.41260267693065
15108,0.15108000000000002,494.34330138298833
15109,0.15109,494.2737245726647
15110,0.1511,494.2037992634817
15111,0.15111000000000002,494.1336891442085
15112,0.15112,494.06334982069984
15113,0.15113000000000001,493.992908714033
15114,0.15114000000000002,493.9224106670158
15115,0.15115,493.851859982308
15116,0.15116000000000002,493.7813805370175
