t,Potential,Kinetic,Total,Virial
305000,349.805,7535.08,7884.89,128420
306000,296.22,7588.8,7885.01,126847
307000,417.874,7467.22,7885.09,130237
308000,677.487,7207.58,7885.07,137426
309000,754.541,7130.47,7885.01,139820
310000,673.947,7210.92,7884.86,137760
311000,479.405,7405.55,7884.95,132462
312000,457.252,7427.81,7885.05,131892
313000,776.843,7108.28,7885.12,140441
314000,680.17,7204.64,7884.81,137860
315000,462.285,7422.67,7884.95,131709
316000,354.508,7530.39,7884.91,128528
317000,403.347,7481.85,7885.2,129998
318000,748.576,7136.46,7885.05,139406
319000,819.35,7065.7,7885.05,141399
320000,664.364,7220.47,7884.83,137139
321000,321.54,7563.37,7884.92,127908
322000,450.984,7434.19,7885.18,131361
323000,585.323,7299.66,7884.99,135262
324000,619.134,7265.93,7885.07,136445
325000,677.26,7207.75,7885.01,138197
326000,639.089,7245.87,7884.95,137322
327000,618.946,7266.13,7885.08,136945
328000,780.468,7104.61,7885.08,141467
329000,919.917,6965.21,7885.14,145471
330000,1008.6,6876.32,7884.92,147829
331000,662.309,7222.54,7884.85,138473
332000,602.447,7282.63,7885.07,136463
333000,639.948,7245.07,7885.02,137201
334000,716.897,7168.17,7885.07,139151
335000,762.76,7122.25,7885,140441
336000,840.67,7044.48,7885.14,142691
337000,907.933,6977,7884.94,144616
338000,736.971,7147.96,7884.93,140331
339000,735.841,7149.27,7885.11,140632
340000,957.254,6927.82,7885.07,146594
341000,919.862,6965.05,7884.91,145383
342000,615.681,7269.13,7884.82,136958
343000,585.054,7300.1,7885.15,135739
344000,632.049,7252.76,7884.81,136417
345000,351.196,7533.76,7884.95,128479
346000,220.779,7664.19,7884.97,124868
347000,331.035,7554.07,7885.1,127934
348000,534.446,7350.65,7885.1,133464
349000,462.59,7422.34,7884.93,131633
350000,418.176,7466.9,7885.07,130474
351000,488.133,7396.87,7885,132444
352000,527.071,7357.97,7885.04,133708
353000,578.405,7306.59,7884.99,135219
354000,550.778,7334.22,7885,134471
355000,517.337,7367.65,7884.99,133392
356000,512.352,7372.71,7885.06,132980
357000,486.529,7398.48,7885.01,132230
358000,544.225,7340.87,7885.09,134047
359000,778.119,7107.01,7885.13,140698
