vx,vy,vz,v
-1.33858,-1.302,-0.812823,4.14767
-0.797693,-1.44327,1.03533,3.79124
-0.256053,0.781229,1.97824,4.58931
-0.808074,1.05984,0.63962,2.18537
-0.223101,-2.96409,2.16103,13.5056
-1.59216,-2.85089,1.18284,12.0617
-1.0729,-1.52671,-1.93027,7.20791
-1.39158,-1.00653,-1.44432,5.03566
0.40098,-1.09868,0.312943,1.46581
-0.35879,0.571546,1.03346,1.52344
-0.018087,0.869852,0.852206,1.48322
2.91385,-0.619514,1.58055,11.3724
1.96614,2.51082,-1.44233,12.2502
0.483419,0.0929154,-2.94132,8.8937
-0.39245,-0.721289,-2.9611,9.44241
-0.990679,1.05943,-1.44035,4.17844
-0.0512552,0.93668,0.0187236,0.880346
0.509936,0.907937,0.376394,1.22606
-0.69641,0.877475,0.78189,1.8663
-0.366785,0.54657,1.42283,2.4577
-1.09647,0.511622,3.17985,11.5755
0.00840316,1.57188,-3.83618,17.1872
0.628363,2.68055,-1.8874,11.1425
-1.0233,0.534957,-1.4987,3.57943
-0.722056,0.742092,0.20003,1.11208
-0.0842296,1.4523,0.725103,2.64205
-0.833498,1.39914,1.01331,3.67912
0.531433,-0.109563,2.22479,5.24412
-0.213736,0.748468,3.47459,12.6787
-0.247358,1.42235,-2.78359,9.83263
-1.05536,2.02722,-2.54869,11.7192
-0.326347,0.732078,-0.536085,0.929828
0.531034,0.239203,1.09282,1.53347
0.909028,1.99552,-0.437215,4.99958
0.602516,2.38763,0.889743,6.85544
3.03196,2.64286,1.8989,19.7833
1.1531,2.09898,1.64166,8.43044
-1.1074,3.96881,-0.884766,17.7606
-0.463872,3.31994,0.347987,11.3583
-0.548718,3.83569,-1.5849,17.5255
2.29355,-0.813408,2.0476,10.1147
-0.554755,3.25062,-0.113348,10.8871
-0.73611,3.54856,1.0449,14.2259
1.08945,0.549583,-0.253842,1.55338
1.6863,0.345415,0.920466,3.81018
0.605067,-3.20858,-1.55583,13.0817
1.19693,-3.19106,-2.61116,18.4336
0.88734,-3.5947,-1.20752,15.1674
0.878767,-3.12553,-0.299557,10.6309
-0.786446,-3.56106,0.156215,13.324
0.658975,-3.61836,0.851914,14.2525
-0.384821,-1.91695,3.72499,17.6984
0.591937,0.609698,2.77894,8.44465
0.496535,-2.87634,-3.04906,17.8167
-0.0132352,-1.43563,-1.2675,3.66777
0.360263,-1.90068,-0.133394,3.76017
1.28429,-2.48188,-0.884224,8.59097
0.0262088,-0.526759,-2.89875,8.68091
0.875511,-2.09302,2.66306,12.2392
-0.10108,-2.50202,1.92087,9.96006
-0.0422056,-0.118097,2.85336,8.15741
-0.0964565,-1.49912,-3.80513,16.7357
1.65733,-1.98206,-1.87198,10.1796
1.33639,-1.99763,-0.311529,5.87351
0.75603,-1.37627,-0.354691,2.5915
0.530443,-1.81725,0.934501,4.45707
0.396478,-1.22398,0.544511,1.95182
-1.02526,1.92373,1.30108,6.44473
-0.583312,-0.903725,3.59179,14.0579
0.378114,-0.135576,-3.27601,10.8936
1.8046,-1.08989,-1.24832,6.00272
1.00417,-0.917053,-1.56823,4.30868
0.100566,-0.929373,-0.640759,1.28442
0.505925,-0.0749437,0.84769,0.980154
-0.810725,-0.16274,1.23564,2.21056
0.457593,-0.352126,2.45864,6.37831
1.17437,0.200985,0.324699,1.52498
-0.0112533,0.691051,-3.60816,13.4965
-2.4722,0.901468,1.21725,8.40613
-0.414449,-0.0986123,-1.61186,2.77957
0.640365,-0.499913,0.0465249,0.662145
-0.391949,-0.648921,0.948731,1.47481
0.985798,1.20271,1.08198,3.58901
0.927584,0.126736,2.58918,7.58031
-0.00871311,2.98025,2.50808,15.1724
0.0830717,2.19199,-4.10899,21.6955
0.835809,2.51668,-1.77671,10.189
0.149104,1.83192,-0.838106,4.08058
0.900845,1.37788,-0.718535,3.22636
-0.444009,1.27857,-0.806612,2.48252
0.332439,1.52917,-0.533737,2.73377
-0.465793,1.94598,2.67932,11.1826
1.60771,1.9451,3.975,22.1688
-0.189874,3.09198,-2.37215,15.2235
1.00943,1.95976,-1.80082,8.10257
0.089934,-0.95191,0.239622,0.971639
0.758328,2.24289,-0.313063,5.70361
0.327537,2.37147,0.555646,6.03988
0.724006,1.77548,-0.119012,3.69069
2.23975,0.393319,-0.303681,5.26342
0.323032,0.482814,1.98742,4.28728
