Particles,Step,Potential,Kitetic,Total
512,1259,28.4475,2942.79,2971.24
512,1264,28.3324,2942.91,2971.24
512,1269,28.2197,2943.02,2971.24
512,1274,28.1068,2943.13,2971.24
512,1279,27.9946,2943.24,2971.24
512,1284,27.8841,2943.35,2971.23
512,1289,27.7725,2943.46,2971.24
512,1294,27.6654,2943.58,2971.25
512,1299,27.556,2943.69,2971.24
512,1304,27.4482,2943.79,2971.24
512,1309,27.3422,2943.9,2971.24
512,1314,27.2358,2944,2971.24
512,1319,27.1316,2944.1,2971.24
512,1324,27.0273,2944.21,2971.24
512,1329,26.9232,2944.31,2971.23
512,1334,26.8205,2944.41,2971.23
512,1339,26.7189,2944.52,2971.24
512,1344,26.6182,2944.62,2971.24
512,1349,26.5162,2944.72,2971.24
512,1354,26.4179,2944.82,2971.24
512,1359,26.3182,2944.92,2971.24
512,1364,26.2209,2945.02,2971.24
512,1369,26.1235,2945.12,2971.24
512,1374,26.0262,2945.21,2971.24
512,1379,25.9308,2945.31,2971.24
512,1384,25.8342,2945.41,2971.24
512,1389,25.7398,2945.5,2971.24
512,1394,25.6473,2945.59,2971.24
512,1399,25.5534,2945.69,2971.24
512,1404,25.4617,2945.77,2971.24
512,1409,25.3691,2945.87,2971.24
512,1414,25.278,2945.96,2971.24
512,1419,25.1876,2946.05,2971.24
512,1424,25.0979,2946.14,2971.23
512,1429,25.0082,2946.23,2971.23
512,1434,24.919,2946.32,2971.23
512,1439,24.8317,2946.4,2971.23
512,1444,24.744,2946.49,2971.24
512,1449,24.6575,2946.58,2971.23
512,1454,24.5704,2946.66,2971.23
512,1459,24.4856,2946.75,2971.23
512,1464,24.401,2946.84,2971.24
512,1469,24.3158,2946.93,2971.24
512,1474,24.2329,2947.01,2971.24
512,1479,24.1493,2947.09,2971.24
512,1484,24.0671,2947.17,2971.24
512,1489,23.9839,2947.25,2971.23
512,1494,23.9022,2947.33,2971.23
512,1499,23.8224,2947.42,2971.24
512,1504,23.7413,2947.5,2971.24
512,1509,23.6614,2947.58,2971.24
512,1514,23.5812,2947.65,2971.24
512,1519,23.5031,2947.73,2971.23
512,1524,23.4247,2947.81,2971.24
512,1529,23.3471,2947.89,2971.24
512,1534,23.2702,2947.97,2971.24
512,1539,23.1923,2948.04,2971.24
512,1544,23.1168,2948.12,2971.23
512,1549,23.0413,2948.2,2971.24
512,1554,22.9656,2948.27,2971.24
512,1559,22.8901,2948.35,2971.24
512,1564,22.8168,2948.42,2971.23
512,1569,22.7422,2948.5,2971.24
512,1574,22.6697,2948.56,2971.23
512,1579,22.596,2948.64,2971.24
512,1584,22.5239,2948.71,2971.24
512,1589,22.4513,2948.78,2971.23
512,1594,22.3806,2948.86,2971.24
512,1599,22.3096,2948.93,2971.24
512,1604,22.2388,2948.99,2971.23
512,1609,22.168,2949.07,2971.23
512,1614,22.0994,2949.14,2971.24
512,1619,22.0297,2949.2,2971.23
512,1624,21.9608,2949.27,2971.23
512,1629,21.8922,2949.35,2971.24
512,1634,21.8244,2949.42,2971.24
512,1639,21.7568,2949.47,2971.23
512,1644,21.6903,2949.54,2971.23
512,1649,21.6227,2949.62,2971.24
512,1654,21.5561,2949.68,2971.24
512,1659,21.491,2949.74,2971.23
512,1664,21.4252,2949.81,2971.24
512,1669,21.3606,2949.88,2971.24
512,1674,21.2948,2949.94,2971.23
512,1679,21.2312,2950,2971.23
512,1684,21.167,2950.07,2971.24
512,1689,21.1036,2950.13,2971.24
512,1694,21.0401,2950.2,2971.24
512,1699,20.9775,2950.26,2971.23
512,1704,20.9156,2950.32,2971.24
512,1709,20.8518,2950.39,2971.24
512,1714,20.7913,2950.44,2971.24
512,1719,20.7293,2950.5,2971.23
512,1724,20.6691,2950.57,2971.24
512,1729,20.6084,2950.62,2971.23
512,1734,20.5474,2950.69,2971.24
512,1739,20.4882,2950.75,2971.24
512,1744,20.428,2950.8,2971.23
512,1749,20.3699,2950.87,2971.24
512,1754,20.3109,2950.93,2971.24
512,1759,20.2518,2950.98,2971.23
512,1764,20.1929,2951.04,2971.24
512,1769,20.1354,2951.1,2971.23
512,1774,20.0787,2951.15,2971.23
512,1779,20.0209,2951.21,2971.23
512,1784,19.9641,2951.27,2971.23
512,1789,19.9071,2951.33,2971.24
512,1794,19.8513,2951.38,2971.23
512,1799,19.7951,2951.44,2971.23
512,1804,19.7399,2951.49,2971.23
512,1809,19.6841,2951.55,2971.23
512,1814,19.6287,2951.6,2971.23
512,1819,19.5745,2951.66,2971.23
512,1824,19.5202,2951.72,2971.24
512,1829,19.4658,2951.77,2971.23
512,1834,19.4119,2951.82,2971.24
512,1839,19.3589,2951.87,2971.23
512,1844,19.3058,2951.93,2971.24
512,1849,19.2524,2951.98,2971.23
512,1854,19.2001,2952.03,2971.23
512,1859,19.1474,2952.09,2971.24
512,1864,19.096,2952.14,2971.23
512,1869,19.0435,2952.2,2971.24
512,1874,18.9922,2952.24,2971.23
512,1879,18.941,2952.3,2971.24
512,1884,18.8897,2952.34,2971.23
512,1889,18.839,2952.4,2971.23
512,1894,18.7892,2952.44,2971.23
512,1899,18.7385,2952.5,2971.23
512,1904,18.6885,2952.55,2971.24
512,1909,18.6405,2952.59,2971.23
512,1914,18.5898,2952.65,2971.24
512,1919,18.5407,2952.69,2971.23
512,1924,18.4925,2952.74,2971.24
512,1929,18.4436,2952.79,2971.23
512,1934,18.3947,2952.84,2971.24
512,1939,18.3481,2952.88,2971.23
512,1944,18.2996,2952.94,2971.24
512,1949,18.252,2952.99,2971.24
512,1954,18.2048,2953.03,2971.23
512,1959,18.1575,2953.07,2971.23
512,1964,18.1109,2953.12,2971.24
512,1969,18.0639,2953.17,2971.23
512,1974,18.0171,2953.21,2971.23
512,1979,17.9718,2953.27,2971.24
512,1984,17.9261,2953.31,2971.24
512,1989,17.8807,2953.36,2971.24
512,1994,17.8349,2953.39,2971.23
512,1999,17.7896,2953.44,2971.23
512,2004,17.7447,2953.48,2971.23
512,2009,17.6993,2953.54,2971.23
512,2014,17.6558,2953.58,2971.23
512,2019,17.6117,2953.63,2971.24
512,2024,17.5665,2953.67,2971.23
512,2029,17.5231,2953.71,2971.24
512,2034,17.48,2953.75,2971.23
512,2039,17.4366,2953.8,2971.24
512,2044,17.3928,2953.84,2971.23
512,2049,17.3499,2953.89,2971.24
512,2054,17.307,2953.92,2971.23
512,2059,17.2644,2953.97,2971.23
512,2064,17.2226,2954.01,2971.23
512,2069,17.1806,2954.04,2971.22
512,2074,17.1381,2954.1,2971.23
512,2079,17.0967,2954.13,2971.23
512,2084,17.0548,2954.18,2971.24
512,2089,17.0137,2954.22,2971.23
512,2094,16.9721,2954.26,2971.24
512,2099,16.9317,2954.3,2971.23
512,2104,16.8917,2954.34,2971.23
512,2109,16.8501,2954.38,2971.23
512,2114,16.8098,2954.42,2971.23
512,2119,16.7695,2954.47,2971.24
512,2124,16.7296,2954.5,2971.23
512,2129,16.6904,2954.54,2971.23
512,2134,16.6509,2954.58,2971.23
512,2139,16.6113,2954.62,2971.23
512,2144,16.5721,2954.66,2971.23
512,2149,16.5331,2954.7,2971.23
512,2154,16.494,2954.74,2971.23
512,2159,16.4553,2954.78,2971.23
512,2164,16.4165,2954.81,2971.23
512,2169,16.3787,2954.86,2971.23
512,2174,16.3405,2954.89,2971.23
512,2179,16.3019,2954.93,2971.23
512,2184,16.2649,2954.97,2971.24
512,2189,16.2277,2955,2971.23
512,2194,16.1901,2955.04,2971.23
512,2199,16.1517,2955.08,2971.23
512,2204,16.1156,2955.12,2971.23
512,2209,16.079,2955.16,2971.24
512,2214,16.0418,2955.19,2971.23
512,2219,16.005,2955.23,2971.24
512,2224,15.9691,2955.26,2971.23
512,2229,15.9325,2955.3,2971.23
512,2234,15.8967,2955.34,2971.24
512,2239,15.8602,2955.36,2971.22
512,2244,15.8248,2955.41,2971.24
512,2249,15.7888,2955.45,2971.23
512,2254,15.7538,2955.48,2971.23
512,2259,15.7182,2955.52,2971.23
512,2264,15.6832,2955.55,2971.23
512,2269,15.6485,2955.58,2971.23
512,2274,15.6138,2955.62,2971.23
512,2279,15.5786,2955.65,2971.23
512,2284,15.5443,2955.69,2971.23
512,2289,15.5102,2955.72,2971.23
512,2294,15.4764,2955.76,2971.23
512,2299,15.4416,2955.8,2971.24
512,2304,15.4082,2955.83,2971.23
512,2309,15.3742,2955.85,2971.23
512,2314,15.3408,2955.9,2971.24
512,2319,15.3068,2955.93,2971.23
512,2324,15.2744,2955.95,2971.23
512,2329,15.2403,2956,2971.24
512,2334,15.2077,2956.02,2971.23
512,2339,15.175,2956.05,2971.23
512,2344,15.1422,2956.09,2971.24
512,2349,15.1094,2956.12,2971.23
512,2354,15.0771,2956.15,2971.23
512,2359,15.0447,2956.19,2971.24
512,2364,15.0124,2956.22,2971.23
512,2369,14.9805,2956.24,2971.23
512,2374,14.9481,2956.28,2971.23
512,2379,14.9168,2956.31,2971.23
512,2384,14.8849,2956.35,2971.23
512,2389,14.8538,2956.38,2971.23
512,2394,14.8225,2956.41,2971.23
512,2399,14.7909,2956.44,2971.23
512,2404,14.7598,2956.47,2971.23
512,2409,14.729,2956.51,2971.23
512,2414,14.6984,2956.53,2971.23
512,2419,14.6673,2956.56,2971.23
512,2424,14.6364,2956.6,2971.23
512,2429,14.6062,2956.62,2971.23
512,2434,14.576,2956.66,2971.23
512,2439,14.5454,2956.69,2971.23
512,2444,14.516,2956.72,2971.23
512,2449,14.486,2956.75,2971.23
512,2454,14.4557,2956.78,2971.23
512,2459,14.4263,2956.8,2971.23
512,2464,14.3965,2956.83,2971.23
512,2469,14.3668,2956.86,2971.23
512,2474,14.3379,2956.89,2971.23
512,2479,14.309,2956.92,2971.23
512,2484,14.2795,2956.95,2971.23
512,2489,14.2507,2956.98,2971.23
512,2494,14.2217,2957.01,2971.23
512,2499,14.1921,2957.04,2971.23
512,2504,14.164,2957.07,2971.23
512,2509,14.1358,2957.1,2971.23
512,2514,14.1071,2957.13,2971.24
512,2519,14.0789,2957.16,2971.23
512,2524,14.0508,2957.18,2971.23
