t,Potential,Kinetic,Total,Virial
32500,-21304.8,11743.7,-9561.13,278339
32600,-21298.8,11738.3,-9560.62,278315
32700,-21221.8,11661.3,-9560.45,280267
32800,-21146.2,11585.5,-9560.62,282216
32900,-21136.1,11575,-9561.07,282382
33000,-21220.3,11658.9,-9561.46,280018
33100,-21320.4,11759.2,-9561.16,277312
33200,-21320.3,11759.7,-9560.64,277393
33300,-21261.8,11701.2,-9560.57,279183
33400,-21206.6,11646.1,-9560.61,280993
33500,-21141.3,11580.8,-9560.48,283076
33600,-21079,11518.3,-9560.66,284989
33700,-21070.8,11509.8,-9560.96,285304
33800,-21112.2,11551.1,-9561.12,284103
33900,-21175.5,11614.3,-9561.21,282180
34000,-21233.9,11672.9,-9561.11,280327
34100,-21283.8,11722.7,-9561.11,278743
34200,-21318.3,11757.4,-9560.87,277689
34300,-21277.9,11717.4,-9560.47,278711
34400,-21196.2,11635.6,-9560.56,280839
34500,-21188.2,11627.1,-9561.1,280954
34600,-21276.5,11715.1,-9561.43,278422
34700,-21386.2,11824.8,-9561.33,275258
34800,-21453.1,11892,-9561.08,273240
34900,-21472.2,11911.4,-9560.9,272562
35000,-21467.6,11906.8,-9560.83,272622
35100,-21466.1,11426.4,-10039.8,272647
35200,-21449.8,11410.1,-10039.7,273011
35300,-21425.4,11385.6,-10039.7,273513
35400,-21445.9,11405.9,-10040.1,272758
35500,-21521.4,11481.2,-10040.3,270530
35600,-21598.3,11558.2,-10040.1,268367
35700,-21596.7,11557.1,-10039.6,268475
35800,-21509.4,11470.1,-10039.3,271056
35900,-21419.3,11379.8,-10039.5,273842
36000,-21363.6,11323.9,-10039.6,275698
36100,-21335.4,11295.6,-10039.8,276679
36200,-21341.1,11301.2,-10039.9,276595
36300,-21364.5,11324.6,-10040,275899
36400,-21414.7,11374.5,-10040.2,274429
36500,-21476.1,11436.1,-10040,272677
36600,-21488.9,11449.2,-10039.7,272279
36700,-21432.8,11393.4,-10039.5,273745
36800,-21384.6,11344.9,-10039.7,275001
36900,-21377.7,11337.9,-10039.8,275100
37000,-21376.7,11336.9,-10039.9,274938
37100,-21411.5,11371.3,-10040.2,273773
37200,-21495.5,11455.2,-10040.2,271337
37300,-21540.2,11500.5,-10039.8,270057
37400,-21468.5,11429.3,-10039.2,272011
37500,-21363.2,11323.7,-10039.4,274971
37600,-21321.9,11282.1,-10039.8,276240
37700,-21353.4,11313.3,-10040.1,275464
37800,-21432.6,11392.4,-10040.2,273292
37900,-21500.9,11460.9,-10040,271352
38000,-21506.9,11467.2,-10039.6,271096
38100,-21459.9,11420.4,-10039.5,272329
38200,-21421.6,11382,-10039.7,273431
38300,-21403.6,11364,-10039.7,274049
38400,-21362.3,11322.7,-10039.6,275226
38500,-21353.8,11313.8,-10040,275439
38600,-21400.9,11360.9,-10040,274105
38700,-21421.3,11381.5,-10039.8,273452
38800,-21414.5,11374.8,-10039.7,273614
38900,-21381.4,11341.9,-10039.6,274628
39000,-21324.8,11285.3,-10039.4,276422
39100,-21237.2,11197.8,-10039.3,279072
39200,-21172.8,11133.1,-10039.7,281001
39300,-21204.8,11164.6,-10040.2,280209
39400,-21279.7,11239.6,-10040.1,278125
39500,-21335.5,11295.5,-10040,276532
39600,-21367.6,11327.7,-10039.9,275725
39700,-21349.4,11309.8,-10039.6,276442
39800,-21293.4,11253.8,-10039.5,278253
39900,-21261.9,11222.1,-10039.8,279346
40000,-21294.5,11254.4,-10040.1,278577
40100,-21371.9,11382.3,-9989.69,276479
40200,-21444.6,11455,-9989.56,274459
40300,-21471.6,11482.4,-9989.21,273689
40400,-21433.2,11444.1,-9989.02,274715
40500,-21410.7,11421.4,-9989.29,275391
40600,-21413.2,11424,-9989.21,275448
40700,-21371.5,11382.5,-9988.97,276667
40800,-21319.3,11330.2,-9989.15,278115
40900,-21327.4,11337.9,-9989.46,277903
41000,-21357.9,11368.5,-9989.39,277003
41100,-21372.4,11383.1,-9989.33,276449
41200,-21374.1,11384.8,-9989.23,276191
41300,-21359.1,11369.9,-9989.22,276342
41400,-21364,11374.6,-9989.37,275984
41500,-21392,11402.6,-9989.45,275038
41600,-21423.7,11434.2,-9989.42,274040
41700,-21453.7,11464.2,-9989.47,273154
41800,-21502.2,11512.7,-9989.52,271890
41900,-21527,11537.8,-9989.22,271380
42000,-21469.7,11481,-9988.78,273174
42100,-21332,11343.6,-9988.44,277184
42200,-21165.2,11176.8,-9988.54,281925
42300,-21071.5,11082.5,-9989.09,284584
42400,-21100.3,11110.6,-9989.71,283767
42500,-21240.7,11250.6,-9990.13,279797
42600,-21410.9,11420.9,-9990.03,274958
42700,-21521.6,11532,-9989.6,271723
42800,-21562.7,11573.3,-9989.38,270436
42900,-21572.1,11582.9,-9989.19,270105
43000,-21539.5,11550.4,-9989.01,270942
43100,-21503.8,11514.6,-9989.18,271863
43200,-21526.2,11536.6,-9989.55,271221
43300,-21598.5,11608.9,-9989.6,269252
43400,-21652.4,11663,-9989.39,267829
43500,-21643.1,11654.2,-9989,268208
43600,-21562.3,11573.6,-9988.7,270623
43700,-21451.6,11462.9,-9988.71,273924
43800,-21356.6,11367.8,-9988.82,276830
43900,-21291.1,11302.1,-9988.99,278893
44000,-21254.9,11265.8,-9989.12,280092
44100,-21235.9,11246.7,-9989.17,280768
44200,-21228.4,11239.2,-9989.21,281091
44300,-21212.7,11223.5,-9989.12,281544
44400,-21203.7,11214.4,-9989.3,281675
44500,-21246.8,11257.2,-9989.56,280291
44600,-21315.2,11325.7,-9989.53,278184
44700,-21350.2,11360.8,-9989.33,277057
44800,-21354,11364.7,-9989.22,276969
44900,-21315.5,11326.6,-9988.91,278196
45000,-21219.9,11231.2,-9988.73,281001
45100,-21139.7,11101.5,-10038.2,283296
45200,-21151.5,11112.8,-10038.7,282929
45300,-21258.2,11219.2,-10039.1,279840
45400,-21396.8,11357.7,-10039.1,275843
45500,-21500.6,11461.9,-10038.7,272886
45600,-21506.5,11468.4,-10038.1,272732
45700,-21398.2,11360.5,-10037.7,275760
45800,-21274.8,11236.9,-10037.9,279215
45900,-21231.1,11192.7,-10038.4,280465
46000,-21266,11227.3,-10038.7,279483
46100,-21322.6,11283.9,-10038.7,277812
46200,-21359.3,11320.8,-10038.5,276663
46300,-21370.1,11331.7,-10038.4,276280
46400,-21369,11330.6,-10038.4,276290
46500,-21378.1,11339.7,-10038.4,276078
46600,-21381.3,11342.9,-10038.4,276037
46700,-21378.8,11340.5,-10038.4,276154
46800,-21372.7,11334.3,-10038.4,276361
46900,-21390.5,11352,-10038.6,275900
47000,-21431.4,11392.8,-10038.6,274781
47100,-21460,11421.5,-10038.5,273925
47200,-21481.4,11442.9,-10038.5,273236
47300,-21524.6,11486,-10038.7,271981
47400,-21564,11525.6,-10038.4,270894
47500,-21515.9,11477.9,-10037.9,272188
47600,-21429.1,11391,-10038,274562
47700,-21377,11338.8,-10038.2,276033
47800,-21349.1,11310.7,-10038.4,276813
47900,-21358.2,11319.7,-10038.5,276560
48000,-21370.2,11331.7,-10038.4,276137
48100,-21378,11339.6,-10038.4,275730
48200,-21390.6,11352.1,-10038.5,275168
48300,-21424,11385.4,-10038.6,274133
48400,-21449.3,11410.9,-10038.4,273424
48500,-21444.9,11406.5,-10038.4,273563
